name,category,price,min_price,max_price,tatemono_measure,min_tatemono_measure,max_tatemono_measure,tochi_measure,min_tochi_measure,max_tochi_measure,madori,min_madori,max_madori,hikiwatashi,kanseijiki,floor,building,adress,nearest_line,nearest_station,nearest_bus_station,bus_time,walk_time,url,latitude,longitude
オープンプレイス代田橋アクセス,新築一戸建て,6780万円～6880万円,6780,6880.0,103.28m～107.02m,103.28,107.02,84.42m～92.66m,84.42,92.66,2LDK+S（納戸）～2LDK+2S（納戸）,2LDK+S,2LDK+2S,2023年8月予定,2023年7月予定,,木造　地上2階,東京都世田谷区羽根木２,京王線,代田橋,,,5,https://suumo.jp/ikkodate/tokyo/sc_setagaya/nc_71057004/,35.6669737,139.6573257
上祖師谷５（仙川駅） 3980万円,中古一戸建て,3980万円,3980,3980.0,93.11m（登記）,93.11,93.11,72.63m、路地状部分：7m含,72.63,72.63,4DK+S（納戸）,4DK+S,4DK+S,相談,1991年6月,,木造3階建,東京都世田谷区上祖師谷５,京王線,仙川,,,12,https://suumo.jp/chukoikkodate/tokyo/sc_setagaya/nc_70215038/,35.6568388,139.5923085
住友林業の分譲住宅『フォレストガーデン世田谷等々力』,新築一戸建て,1億990万円～1億5300万円,10990,15300.0,92.94m～109.54m,92.94,109.54,95m～107.24m,95.0,107.24,3LDK～5LDK,3LDK,5LDK,2023年4月下旬予定,2022年12月下旬,,木造軸組工法（MB構法）2階建,東京都世田谷区等々力７-46番24号 他（地番）,東急大井町線,尾山台,,,12,https://suumo.jp/ikkodate/tokyo/sc_setagaya/nc_70615877/,35.6100145,139.6593985
住友林業の分譲住宅『フォレストガーデン二子玉川』,新築一戸建て,1億1300万円～1億2300万円,11300,12300.0,99.82m～103.07m,99.82,103.07,108.42m～114.73m,108.42,114.73,3LDK・4LDK,3LDK,4LDK,2023年4月下旬予定,2022年8月上旬,,木造軸組工法（MB構法）2階建,東京都世田谷区岡本２-574-1番他（地番）,東急田園都市線,二子玉川,,,19,https://suumo.jp/ikkodate/tokyo/sc_setagaya/nc_97929458/,35.6217556,139.6190716
コモンステージ上用賀【積水ハウス】,新築一戸建て,1億4460万円～1億7910万円,14460,17910.0,102.95m～114.67m（31.14坪～34.68坪）,102.95,114.67,101.6m～120.02m（30.73坪～36.30坪）,101.6,120.02,3LDK,3LDK,3LDK,2023年2月,2023年1月,,軽量鉄骨2階建(7戸),東京都世田谷区上用賀６-93番11他,東急田園都市線,用賀,,,17,https://suumo.jp/ikkodate/tokyo/sc_setagaya/nc_70467440/,35.635792,139.6254456
グローイングスクエア世田谷千歳台グランデ　第2期,新築一戸建て,未定,未定,,90.67m～93.57m（27.42坪～28.30坪）,90.67,93.57,92.89m～101.09m（28.09坪～30.57坪）（実測）,92.89,101.09,2LDK・3LDK※3・4LDKに変更可（有償）,2LDK,3LDK,2023年3月予定,2022年12月中旬,,木造2階建て　軸組(在来)工法 スレート葺,東京都世田谷区千歳台２-692-3他（地番）,小田急線,祖師ヶ谷大蔵,,,16,https://suumo.jp/ikkodate/tokyo/sc_setagaya/nc_70961966/,35.650786,139.6114238
経堂プロジェクト2区画／全3区画,建築条件付土地,5380万円・5680万円,5380,5680.0,,,,70m・72.83m（21.17坪・22.03坪）（実測）,70.0,72.83,,,,,,,,東京都世田谷区船橋５,小田急線,経堂,,,17,https://suumo.jp/tochi/tokyo/sc_setagaya/nc_71281497/,35.6558011,139.6267204
野村不動産　プラウドシーズン二子玉川ヒルサイドステージ,新築一戸建て,未定,未定,,101m～138.17m,101.0,138.17,103.88m～120.1m,103.88,120.1,1LDK+2S（納戸）～4LDK,1LDK+2S,4LDK,2023年6月中旬予定,2023年2月上旬,,木造2階建（２×４工法）※ST6のみ3階建,東京都世田谷区瀬田２丁目８５７－７他（地番）,東急田園都市線,二子玉川,,,13,https://suumo.jp/ikkodate/tokyo/sc_setagaya/nc_71093865/,35.6169555,139.6355588
LIST GARDEN　下北沢,新築一戸建て,1億990万円・1億3990万円,10990,13990.0,107.16m・111.78m,107.16,111.78,97.27m・97.85m,97.27,97.85,2LDK+S（納戸）・3LDK,2LDK+S,3LDK,即引渡可,2022年10月,,-,東京都世田谷区大原１,小田急線,下北沢,,,10,https://suumo.jp/ikkodate/tokyo/sc_setagaya/nc_70739390/,35.6692227,139.6643416
▽BASE奥沢１▽ 悠久の杜「奥沢」エリア、上質な寛ぎを追求した至高の邸宅,新築一戸建て,1億3000万円～1億6000万円台（予定）,13000,16000.0,83.11m・131.1m（実測）,83.11,131.1,82.64m・82.65m,82.64,82.65,2LDK+S（納戸）～4LDK+S（納戸）,2LDK+S,4LDK+S,相談,契約後10ヶ月,,木造2階建、木・RC造2階・地下1階建,東京都世田谷区奥沢１,東急大井町線,緑が丘,,,5,https://suumo.jp/ikkodate/tokyo/sc_setagaya/nc_70781695/,35.60091600000001,139.6771
