name,main_category,category,price,min_price,max_price,tatemono_measure,min_tatemono_measure,max_tatemono_measure,tochi_measure,min_tochi_measure,max_tochi_measure,madori,main_madori,min_madori,max_madori,hikiwatashi,kanseijiki,floor,building,prefecture,city,adress,nearest_line,nearest_station,nearest_bus_station,bus_time,walk_time,url,latitude,longitude,year,month,date,chiku_nissu,chiku_nensu
,,,,,,,,,,,,,,,,,,,,選択してください,選択してください,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,北海道,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,青森県,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,岩手県,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,宮城県,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,秋田県,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,山形県,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,福島県,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,茨城県,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,栃木県,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,群馬県,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,埼玉県,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,千葉県,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,東京都,葛飾区（85.7％）,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,東京都,江戸川区（78.6％）,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,東京都,江東区（94.4％）,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,東京都,港区（67.5％）,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,東京都,荒川区（83.4％）,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,東京都,渋谷区（73.9％）,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,東京都,新宿区（76％）,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,東京都,杉並区（84.7％）,,,,,,,,,,,,,,
世田谷区砧七丁目　中古戸建,中古一戸建て,中古一戸建て,6480万円,6480,6480,83.19m（25.16坪）（登記）,83.19,83.19,87.6m（26.49坪）（登記）,87.6,87.6,1LDK+S（納戸）,1K/DK/LDK,1LDK+S,1LDK+S,相談,2016年8月,,木造2階建,東京都,世田谷区（69.7％）,東京都世田谷区砧７,小田急線,祖師ヶ谷大蔵,,,12,https://suumo.jp/chukoikkodate/tokyo/sc_setagaya/nc_71396486/,35.6361188,139.6063258,2016,8,2016/8/1 0:00,2424,7
♪予約制内覧会受付中♪◆フルリノベーション中古戸建◆,中古一戸建て,中古一戸建て,6499万円,6499,6499,51.75m,51.75,51.75,53.42m,53.42,53.42,1LDK,1K/DK/LDK,1LDK,1LDK,即引渡可,2005年7月,,木造2階建,東京都,世田谷区（69.7％）,東京都世田谷区松原３,京王線,下高井戸,,,8,https://suumo.jp/chukoikkodate/tokyo/sc_setagaya/nc_70659120/,35.6655983,139.6439339,2005,7,2005/7/1 0:00,6473,18
世田谷区松原　中古戸建,中古一戸建て,中古一戸建て,6499万円,6499,6499,53.42m,53.42,53.42,51.75m,51.75,51.75,1LDK,1K/DK/LDK,1LDK,1LDK,相談,2005年7月,,木造2階建,東京都,世田谷区（69.7％）,東京都世田谷区松原３,京王線,下高井戸,,,8,https://suumo.jp/chukoikkodate/tokyo/sc_setagaya/nc_70770952/,35.6655983,139.6439339,2005,7,2005/7/1 0:00,6473,18
世田谷区弦巻の家,中古一戸建て,中古一戸建て,6980万円,6980,6980,85.97m,85.97,85.97,49.12m,49.12,49.12,1LDK+2S（納戸）,1K/DK/LDK,1LDK+2S,1LDK+2S,相談,2012年1月,,木造一部RC造　地上2階　地下1階（一部）,東京都,世田谷区（69.7％）,東京都世田谷区弦巻５,東急田園都市線,桜新町,,,13,https://suumo.jp/chukoikkodate/tokyo/sc_setagaya/nc_71619528/,35.6368497,139.6394707,2012,1,2012/1/1 0:00,4098,11
◆世田谷区赤堤2丁目　中古戸建◆,中古一戸建て,中古一戸建て,8280万円,8280,8280,78.65m,78.65,78.65,82.58m,82.58,82.58,1LDK+2S（納戸）,1K/DK/LDK,1LDK+2S,1LDK+2S,相談,2017年10月,,木造2階建(制震住宅),東京都,世田谷区（69.7％）,東京都世田谷区赤堤２,小田急線,豪徳寺,,,8,https://suumo.jp/chukoikkodate/tokyo/sc_setagaya/nc_71698138/,35.6577672,139.6458469,2017,10,2017/10/1 0:00,1998,5
東玉川１（奥沢駅） 6680万円,中古一戸建て,中古一戸建て,6680万円,6680,6680,73.79m（登記）、うち地下室24.13m、１階車庫6.75m,73.79,73.79,53.32m（登記）,53.32,53.32,1LDK+S（納戸）,1K/DK/LDK,1LDK+S,1LDK+S,相談,2003年7月,,木造2階地下1階建,東京都,世田谷区（69.7％）,東京都世田谷区東玉川１,東急目黒線,奥沢,,,12,https://suumo.jp/chukoikkodate/tokyo/sc_setagaya/nc_71408258/,35.5971544,139.677738,2003,7,2003/7/1 0:00,7204,20
三軒茶屋２（三軒茶屋駅） 7980万円,中古一戸建て,中古一戸建て,7980万円,7980,7980,60.25m（登記）,60.25,60.25,46.18m（登記）,46.18,46.18,1LDK,1K/DK/LDK,1LDK,1LDK,即引渡可,2017年9月,,木造3階建（軸組工法）,東京都,世田谷区（69.7％）,東京都世田谷区三軒茶屋２-53-8,東急田園都市線,三軒茶屋,,,10,https://suumo.jp/chukoikkodate/tokyo/sc_setagaya/nc_71380574/,35.642534,139.6622886,2017,9,2017/9/1 0:00,2028,6
深沢２（都立大学駅） 2350万円,中古一戸建て,中古一戸建て,2350万円,2350,2350,34.24m（登記）,34.24,34.24,27.17m（登記）,27.17,27.17,1DK,1K/DK/LDK,1DK,1DK,即引渡可,1991年3月,,木造2階建,東京都,世田谷区（69.7％）,東京都世田谷区深沢２,東急東横線,都立大学,,,20,https://suumo.jp/chukoikkodate/tokyo/sc_setagaya/nc_71022791/,35.6214782,139.6611525,1991,3,1991/3/1 0:00,11709,32
