name,category,price,measure,madori,hikiwatashi,kanseijiki,floor,building,adress,nearest_line,nearest_station,walk_time,url
パルテノン上町 1290万円（ワンルーム）,中古マンション,1290,20.4,ワンルーム,即引渡可,1970年9月,4,SRC8階建,東京都世田谷区世田谷２-８－２,東急世田谷線,上町,3,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_70196132/
第２豪徳寺ハイム 1730万円（1DK）,中古マンション,1730,26.62,1DK,2023年4月予定,1972年2月,1,RC6階建,東京都世田谷区赤堤１,小田急線,豪徳寺,8,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71636268/
ライオンズマンション経堂 2098万円（ワンルーム）,中古マンション,2098,27.96,ワンルーム,即引渡可,1973年1月,3,RC8階建,東京都世田谷区宮坂３,小田急線,経堂,3,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71268120/
桜丘フラワーホーム 2199万円（1LDK）,中古マンション,2199,45.7,1LDK,即引渡可,1973年6月,2,RC4階建,東京都世田谷区桜丘４,小田急線,千歳船橋,15,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71632669/
桜丘フラワーホーム 2199万円（1LDK）,中古マンション,2199,45.7,1LDK,相談,1973年6月,2,RC4階建,東京都世田谷区桜丘４,小田急線,千歳船橋,15,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71391091/
柿ノ木坂東豊エステート 2580万円（1LDK）,中古マンション,2580,34.8,1LDK,即引渡可,1970年9月,9,SRC13階建,東京都世田谷区野沢３,東急東横線,学芸大学,12,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71570661/
深沢ビューグリーン 2580万円（1LDK）,中古マンション,2580,38.88,1LDK,即引渡可,1976年11月,1,RC6階建,東京都世田谷区深沢４,東急田園都市線,駒沢大学,19,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71513688/
ニュー上馬マンション 2648万円（1LDK）,中古マンション,2648,35,1LDK,相談,1970年6月,6,RC7階建,東京都世田谷区野沢４,東急田園都市線,駒沢大学,6,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71689836/
【価格変更！】ニュー上馬マンション 2648万円（1LDK）,中古マンション,2648,35,1LDK,即引渡可,1970年6月,6,RC7階建,東京都世田谷区野沢４,東急田園都市線,駒沢大学,6,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71254775/
祐天寺フラワーマンション 2688万円（1LDK）,中古マンション,2688,39.13,1LDK,即引渡可,1969年8月,2,RC8階建,東京都世田谷区下馬４,東急東横線,祐天寺,12,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71667454/
