name,price,min_price,max_price,measure,min_measure,max_measure,madori,min_madori,max_madori,hikiwatashi,adress,nearest_line,nearest_station,walk_time,url
ヴィークステージ世田谷千歳烏山,5900万円台～8900万円台,5900,8900,63.79～87.58,63.79,87.58,2LDK+S（納戸）～4LDK,2LDK+S（納戸）,4LDK,2024年3月下旬予定,東京都世田谷区北烏山８-2092-1（地番）,京王線,千歳烏山,17,https://suumo.jp/ms/shinchiku/tokyo/sc_setagaya/nc_67727249/
,,,,,,,,,,,,,,,https://suumo.jp/ms/shinchiku/tokyo/sc_setagaya/nc_67726986/
ディアナコート二子玉川翠景,未定,未定,未定,34.44～80.93,34.44,80.93,1LDK～3LDK,1LDK,3LDK,2024年7月下旬予定,東京都世田谷区玉川２-1495-2他（地番）,東急田園都市線,二子玉川,6,https://suumo.jp/ms/shinchiku/tokyo/sc_setagaya/nc_67727932/
ピアース等々力レジデンス,未定,未定,未定,33.82～87.32,33.82,87.32,1LDK～3LDK,1LDK,3LDK,2024年9月下旬予定,東京都世田谷区等々力８-67-11他（地番）,東急大井町線,等々力,11,https://suumo.jp/ms/shinchiku/tokyo/sc_setagaya/nc_67727930/
ピアース世田谷松原,5980万円～8990万円,5980,8990,39.22～61.72,39.22,61.72,1R+S（納戸）～2LDK,1R+S（納戸）,2LDK,2024年3月下旬予定,東京都世田谷区松原６-1579-1（地番）,小田急線,梅ヶ丘,2,https://suumo.jp/ms/shinchiku/tokyo/sc_setagaya/nc_67726985/
クリオ世田谷松原ザ・クラシック,1億2989万4000円,129894000,129894000,109.29,109.29,109.29,2LDK,2LDK,2LDK,2024年3月下旬予定,東京都世田谷区赤堤２丁目11番1、他（地番）,東急世田谷線,松原,6,https://suumo.jp/ms/shinchiku/tokyo/sc_setagaya/nc_67727207/
クレヴィア三軒茶屋,5900万円台～6900万円台,5900,6900,36.36～42.57,36.36,42.57,1R～1LDK※1RはLDK,1R,1LDK※1RはLDK,2023年10月下旬予定,東京都世田谷区若林１-69-1他（地番）,東急田園都市線,三軒茶屋,11,https://suumo.jp/ms/shinchiku/tokyo/sc_setagaya/nc_67721652/
パークホームズ三軒茶屋一丁目,4100万円台～2億8000万円台,4100,28000,28.77～128.66,28.77,128.66,1K～3LDK,1K,3LDK,2023年12月中旬予定,東京都世田谷区三軒茶屋１-79-2（地番）,東急田園都市線,三軒茶屋,4,https://suumo.jp/ms/shinchiku/tokyo/sc_setagaya/nc_67724529/
レジデンスコート世田谷桜丘,未定,未定,未定,55.65～83.85,55.65,83.85,1LDK+S（納戸）～4LDK,1LDK+S（納戸）,4LDK,2024年3月下旬予定,東京都世田谷区桜丘５-3049-1（地番）,小田急線,千歳船橋,7,https://suumo.jp/ms/shinchiku/tokyo/sc_setagaya/nc_67724220/
リムテラス芦花公園,5990万円～7990万円,5990,7990,73.56～89.28,73.56,89.28,2LDK+S（納戸）・3LDK,2LDK+S（納戸）・3LDK,2LDK+S（納戸）・3LDK,2023年3月末予定,東京都世田谷区南烏山１-228-76他（地番）、東京都世田谷区南烏山１-9-24（住居表示）,京王線,芦花公園,5,https://suumo.jp/ms/shinchiku/tokyo/sc_setagaya/nc_67728018/
シティハウス二子玉川 ザ・グランド,6400万円～3億円,6400,3,40.03～111.12,40.03,111.12,1LDK～3LDK,1LDK,3LDK,2024年4月中旬予定,東京都世田谷区玉川２-1467-1（地番）,東急田園都市線,二子玉川,4,https://suumo.jp/ms/shinchiku/tokyo/sc_setagaya/nc_67719389/
Brillia(ブリリア)自由が丘,未定,未定,未定,32.77～75.18,32.77,75.18,1K～2LDK,1K,2LDK,2024年6月下旬予定,東京都世田谷区奥沢５-259-1（地番）,東急東横線,自由が丘,2,https://suumo.jp/ms/shinchiku/tokyo/sc_setagaya/nc_67725485/
,,,,,,,,,,,,,,,https://suumo.jp/ms/shinchiku/tokyo/sc_setagaya/nc_71787672/
,,,,,,,,,,,,,,,https://suumo.jp/ms/shinchiku/tokyo/sc_setagaya/nc_71216507/
,,,,,,,,,,,,,,,https://suumo.jp/ms/shinchiku/tokyo/sc_setagaya/nc_67725331/
