区分,名称,住所,0歳定員,1歳定員,2歳定員,3歳定員,4歳定員,5歳定員,定員,受入年齢,対象年齢,開所時間,閉所時間,延長保育時間（開始）,延長保育時間（終了）,latitude,longitude,latlng,nearlest_station,walk_time
認可保育園,南奥沢☆,東京都世田谷区奥沢1−2−13,,14,14,17,17,17,79,,,7:15:00,18:15:00,18:15:00,20:15:00,35.5994527,139.6801106,"35.5994527,139.6801106",石川台,10
認可保育園,奥沢☆,東京都世田谷区奥沢2−3−11,10,10,11,17,17,18,83,5か月,,7:15:00,18:15:00,18:15:00,20:15:00,35.6052698,139.6757044,"35.6052698,139.6757044",緑が丘（東京都）,5
認可保育園,中町※1,東京都世田谷区中町3−27−2,11,16,18,19,20,21,105,5か月,,7:15:00,18:15:00,18:15:00,20:15:00,35.6154624,139.6425391,"35.6154624,139.6425391",上野毛,8
認可保育園,玉川,東京都世田谷区玉川4−16−6,,15,18,20,22,22,97,,,7:15:00,18:15:00,18:15:00,20:15:00,35.6177344,139.6241309,"35.6177344,139.6241309",二子玉川,12
認可保育園,上用賀☆,東京都世田谷区上用賀4−2−10,9,14,15,21,22,22,103,5か月,,7:15:00,18:15:00,18:15:00,20:15:00,35.6348913,139.6303933,"35.6348913,139.6303933",用賀,15
認証保育園,"マミーズエンジェル
奥沢保育園",東京都世田谷区奥沢3−44−2−1階,,,,,,,36,,"生後36日~
小学校就学前",7:30:00,22:00:00,,,35.6034642,139.6746478,"35.6034642,139.6746478",奥沢,4
認証保育園,ベビールーム等々力,東京都世田谷区等々力1−19−9 1階,,,,,,,31,,"生後56日~
2歳児",7:00:00,20:00:00,,,35.6034079,139.6477399,"35.6034079,139.6477399",等々力,10
認証保育園,"ピノキオ幼児舎
上野毛園","東京都世田谷区上野毛1−9−14
メゾン田園1階",,,,,,,28,,"生後1か月~
小学校就学前",7:00:00,21:00:00,,,35.6108193,139.6393312,"35.6108193,139.6393312",上野毛,4
認証保育園,"グローバルキッズ
上野毛園","東京都世田谷区上野毛1−26−6
上野毛駅ビル2階",,,,,,,30,,"生後43日~
小学校就学前",7:30:00,21:00:00,,,35.61193,139.6389726,"35.61193,139.6389726",上野毛,2
認証保育園,"ナーサリールーム
ベリーベアー用賀","東京都世田谷区用賀2−27−1
大東京ビル3階",,,,,,,32,,"生後1か月~
小学校就学前",7:30:00,21:30:00,,,35.6246377,139.638076,"35.6246377,139.638076",用賀,9
認可外保育施設,託児ルーム バンビーノ,東京都世田谷区梅丘1-20-9 梅ヶ丘プラザ2F,,,,,,,17,,,8:00:00,19:00:00,,,35.6554944,139.6543163,"35.6554944,139.6543163",梅ヶ丘,3
認可外保育施設,ほいくルーム・すずらん,東京都世田谷区尾山台3-9-2 プロスパーきむら1階,,,,,,,15,,,8:00:00,21:00:00,,,35.6037144,139.6529611,"35.6037144,139.6529611",尾山台,6
認可外保育施設,ロハスキッズ・センター クローバー,東京都世田谷区玉川1-3-2,,,,,,,64,,,7:30:00,20:30:00,,,35.6086772,139.630087,"35.6086772,139.630087",二子玉川,9
認可外保育施設,にこりんこルーム,東京都世田谷区砧4-20-21,,,,,,,10,,,7:30:00,20:00:00,,,35.6404502,139.6150982,"35.6404502,139.6150982",祖師ヶ谷大蔵,12
認可外保育施設,MYSIGT,東京都世田谷区若林5-4-12,,,,,,,3,,,8:00:00,8:00:00,,,35.6474629,139.660126,"35.6474629,139.660126",若林（東京都）,4
