city,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
千代田区,350,387,380,378,469,466,619,599,627,675,595,650,673,616,585
中央区,1222,1332,1447,1432,1495,1694,1838,1983,2032,2079,2108,2088,2144,2010,1940
港区,2277,2403,2510,2402,2638,2727,3051,3118,3251,3123,3042,2919,2817,2595,2436
新宿区,1997,2232,2192,2135,2299,2469,2515,2612,2790,2788,2679,2516,2591,2465,2328
文京区,1531,1534,1635,1715,1694,1859,1917,2034,2167,2074,2119,2044,2109,1884,1845
台東区,1208,1200,1339,1312,1382,1471,1610,1619,1590,1661,1669,1634,1612,1570,1463
墨田区,1949,2038,2074,1971,2094,2191,2298,2562,2486,2599,2516,2434,2370,2295,2152
江東区,4096,4442,4454,4359,4340,4752,4790,5100,4980,4793,4643,4334,4325,4206,3876
品川区,3011,3167,3100,3242,3380,3610,3550,3830,3889,3800,3823,3810,3845,3632,3460
目黒区,2031,2091,2216,2219,2317,2400,2590,2577,2576,2593,2500,2456,2353,2159,2179
大田区,5506,5806,5563,5546,5551,5869,5975,6120,5981,5865,5978,5503,5672,5344,5068
世田谷区,7068,7047,7339,7249,7493,7773,8022,8164,8060,7610,7508,6965,6845,6818,6326
渋谷区,1504,1667,1660,1699,1834,1959,2044,2210,2155,2178,2113,2063,2016,1956,1802
中野区,2187,2330,2310,2230,2288,2446,2551,2734,2768,2699,2591,2462,2530,2481,2334
杉並区,3937,3989,4117,4115,4141,4445,4564,4841,4745,4588,4702,4468,4454,4186,4030
豊島区,1644,1796,1793,1865,1901,2116,2203,2206,2224,2247,2157,2082,2036,2013,1982
北区,2333,2396,2415,2363,2420,2723,2836,2892,3031,2936,2881,2898,2872,2690,2562
荒川区,1561,1580,1700,1728,1637,1867,1908,1909,1905,1890,1696,1745,1753,1692,1624
板橋区,4467,4391,4351,4349,4357,4541,4514,4668,4810,4625,4569,4247,4089,3836,3605
練馬区,5990,6020,6135,5954,5948,6218,6177,6241,6225,6028,5836,5634,5515,5341,5217
足立区,5470,5653,5552,5486,5527,5548,5552,5659,5410,5226,5177,4761,4686,4323,4188
葛飾区,3673,3703,3653,3623,3634,3697,3718,3759,3739,3676,3635,3403,3392,3079,3091
江戸川区,6563,6351,6165,5891,5955,6123,5973,6012,6005,5977,5907,5609,5287,4985,4719
八王子市,4241,4405,4318,4105,4047,3974,3743,3846,3658,3451,3372,3161,3013,2924,2803
立川市,1569,1469,1495,1480,1465,1458,1424,1524,1437,1423,1476,1388,1236,1199,1170
武蔵野市,1043,1011,1121,1184,1157,1276,1320,1350,1287,1243,1213,1143,1118,1139,1118
三鷹市,1525,1588,1537,1528,1481,1526,1533,1612,1603,1542,1576,1356,1374,1377,1258
青梅市,1049,1062,977,906,942,868,896,818,822,777,669,681,631,606,542
府中市,2313,2334,2366,2310,2233,2303,2256,2338,2264,2151,2019,1899,1815,1746,1621
昭島市,955,948,963,976,949,944,913,923,864,836,861,859,791,764,783
調布市,2016,2048,2090,1953,2028,2062,2109,1965,2066,2140,1991,1893,1787,1761,1622
町田市,2439,3338,3402,3160,3044,2992,2932,2892,2830,2783,2658,2547,2464,2310,2312
小金井市,896,943,966,1003,1006,1094,1115,1109,1034,1026,1088,1016,971,948,961
小平市,1577,1619,1537,1522,1554,1641,1580,1656,1603,1490,1619,1493,1404,1293,1303
日野市,1530,1500,1596,1447,1512,1512,1464,1589,1580,1441,1410,1336,1389,1264,1209
東村山市,1267,1285,1326,1256,1125,1114,1051,1105,972,969,964,933,944,887,886
国分寺市,984,907,922,935,908,988,938,1067,1053,955,976,1005,958,988,940
国立市,567,581,580,517,548,623,568,581,576,558,578,467,486,427,453
福生市,549,508,517,458,439,469,427,454,442,384,399,379,367,334,313
狛江市,590,608,616,565,622,642,672,706,749,716,678,715,629,601,541
東大和市,775,751,778,699,762,691,692,778,720,719,656,572,565,511,499
清瀬市,544,551,553,527,537,555,484,535,546,513,471,453,443,455,402
東久留米市,875,887,920,816,874,858,926,855,867,824,780,759,710,704,663
武蔵村山市,666,652,593,592,560,554,523,549,497,494,551,466,472,418,403
多摩市,1241,1164,1128,1049,994,1025,1074,1030,968,970,882,871,790,733,689
稲城市,794,767,862,769,768,826,741,770,820,788,730,765,706,656,678
羽村市,522,520,499,464,439,472,425,377,424,381,343,364,313,310,290
あきる野市,631,669,667,655,627,621,606,563,509,544,493,466,434,424,382
西東京市,1624,1613,1676,1717,1624,1558,1545,1583,1555,1434,1472,1451,1425,1316,1333
