city,2018,2019,2020,2021,2022,2023
千代田区,62.0,58.8,82.1,86.9,90.2,84.61780210281995
中央区,61.6,57.7,59.5,68.2,74.3,71.73559382370877
港区,39.9,42.9,61.1,69.5,67.5,60.795531542261415
新宿区,70.0,71.0,69.0,72.0,76.0,78.22518229183424
台東区,55.4,60.6,62.2,65.4,69.4,70.44686828421527
文京区,65.5,80.0,76.0,78.9,79.6,83.048684963911
江東区,68.7,80.0,83.5,88.9,94.4,87.61902289047339
墨田区,69.8,73.2,76.2,76.5,82.0,81.86657316915353
品川区,79.8,77.7,70.5,73.9,71.2,80.92045906339354
大田区,70.5,73.9,75.2,78.8,77.3,79.30023778492159
目黒区,60.0,71.0,75.4,80.9,80.0,80.24640851015829
世田谷区,69.7,67.3,70.5,70.9,73.4,72.92841272793794
渋谷区,60.2,61.2,72.1,74.4,73.9,75.31331170799876
中野区,58.0,73.6,70.2,75.1,85.1,79.46912209018592
杉並区,73.9,77.1,78.1,78.9,84.7,83.33038251146354
豊島区,88.0,86.7,85.7,88.9,89.0,95.52162843097176
北区,87.4,71.7,83.3,82.7,83.7,87.93215932625662
荒川区,81.8,82.3,82.6,82.4,83.4,90.80443283341447
板橋区,80.1,81.0,81.0,82.4,85.2,85.08292305516625
練馬区,78.8,78.5,78.8,78.3,78.2,83.90305917322348
足立区,73.1,71.3,79.8,78.6,78.8,80.55971549816513
葛飾区,80.4,77.9,84.8,86.0,85.7,88.91984029227115
江戸川区,70.6,75.2,71.8,72.1,78.6,75.61529893990246
八王子市,93.9,93.6,92.2,94.1,96.0,101.11427678297514
立川市,77.3,81.2,86.4,80.4,79.9,88.64729974852526
武蔵野市,69.3,70.0,72.6,70.5,70.5,79.30907090139408
三鷹市,71.3,79.6,80.6,76.4,81.9,85.75804626035188
青梅市,93.3,95.7,96.3,94.4,95.3,103.52129345100457
府中市,68.1,69.6,79.0,75.8,82.2,82.04659015499692
昭島市,0.0,0.0,62.2,81.6,81.7,54.13903398310231
調布市,80.1,70.9,75.3,80.0,80.8,84.59017232560473
小金井市,64.6,67.0,67.3,66.5,72.9,76.43675752934723
町田市,81.8,79.4,72.6,69.9,67.2,83.24968967253244
小平市,74.1,71.5,69.0,71.3,77.9,80.34686262226205
国分寺市,67.9,77.1,78.1,74.4,82.4,84.75335134163561
日野市,77.6,85.7,84.9,86.2,86.7,92.24853162880481
国立市,76.6,81.8,84.6,86.7,79.8,90.57797808571468
狛江市,59.5,72.7,78.6,72.0,71.6,78.99822790518647
東大和市,81.7,80.9,81.6,84.0,86.1,91.21211946135008
東久留米市,75.4,78.2,79.2,86.0,83.5,89.07553131101486
多摩市,73.3,70.4,77.6,85.2,81.0,85.41839822613474
稲城市,61.9,75.5,83.7,87.1,72.6,84.96400703103154
西東京市,77.4,76.7,79.2,79.1,85.0,88.27038228019956
