city,2018,2019,2020,2021,2022,2023
千代田区,62.0,58.8,82.1,86.9,90.2,87.72088817222448
中央区,61.6,57.7,59.5,68.2,74.3,74.8386798931133
港区,39.9,42.9,61.1,69.5,67.5,63.89861761166594
新宿区,70.0,71.0,69.0,72.0,76.0,81.32826836123877
台東区,55.4,60.6,62.2,65.4,69.4,73.5499543536198
文京区,65.5,80.0,76.0,78.9,79.6,86.15177103331553
江東区,68.7,80.0,83.5,88.9,94.4,90.72210895987791
墨田区,69.8,73.2,76.2,76.5,82.0,84.96965923855805
品川区,79.8,77.7,70.5,73.9,71.2,84.02354513279806
大田区,70.5,73.9,75.2,78.8,77.3,82.40332385432612
目黒区,60.0,71.0,75.4,80.9,80.0,83.34949457956282
世田谷区,69.7,67.3,70.5,70.9,73.4,76.03149879734246
渋谷区,60.2,61.2,72.1,74.4,73.9,78.41639777740329
中野区,58.0,73.6,70.2,75.1,85.1,82.57220815959045
杉並区,73.9,77.1,78.1,78.9,84.7,86.43346858086807
豊島区,88.0,86.7,85.7,88.9,89.0,98.62471450037629
北区,87.4,71.7,83.3,82.7,83.7,91.03524539566115
荒川区,81.8,82.3,82.6,82.4,83.4,93.90751890281899
板橋区,80.1,81.0,81.0,82.4,85.2,88.18600912457077
練馬区,78.8,78.5,78.8,78.3,78.2,87.00614524262801
足立区,73.1,71.3,79.8,78.6,78.8,83.66280156756966
葛飾区,80.4,77.9,84.8,86.0,85.7,92.02292636167567
江戸川区,70.6,75.2,71.8,72.1,78.6,78.71838500930699
八王子市,93.9,93.6,92.2,94.1,96.0,104.21736285237967
立川市,77.3,81.2,86.4,80.4,79.9,91.75038581792978
武蔵野市,69.3,70.0,72.6,70.5,70.5,82.4121569707986
三鷹市,71.3,79.6,80.6,76.4,81.9,88.8611323297564
青梅市,93.3,95.7,96.3,94.4,95.3,106.6243795204091
府中市,68.1,69.6,79.0,75.8,82.2,85.14967622440145
昭島市,0.0,0.0,62.2,81.6,81.7,57.242120052506834
調布市,80.1,70.9,75.3,80.0,80.8,87.69325839500925
小金井市,64.6,67.0,67.3,66.5,72.9,79.53984359875176
町田市,81.8,79.4,72.6,69.9,67.2,86.35277574193697
小平市,74.1,71.5,69.0,71.3,77.9,83.44994869166658
国分寺市,67.9,77.1,78.1,74.4,82.4,87.85643741104013
日野市,77.6,85.7,84.9,86.2,86.7,95.35161769820934
国立市,76.6,81.8,84.6,86.7,79.8,93.6810641551192
狛江市,59.5,72.7,78.6,72.0,71.6,82.101313974591
東大和市,81.7,80.9,81.6,84.0,86.1,94.31520553075461
東久留米市,75.4,78.2,79.2,86.0,83.5,92.17861738041938
多摩市,73.3,70.4,77.6,85.2,81.0,88.52148429553927
稲城市,61.9,75.5,83.7,87.1,72.6,88.06709310043607
西東京市,77.4,76.7,79.2,79.1,85.0,91.37346834960408
