区分,名称,都道府県,市区群,住所,0歳定員,1歳定員,2歳定員,3歳定員,4歳定員,5歳定員,定員,受入年齢,対象年齢,開所時間,閉所時間,延長保育時間（開始）,延長保育時間（終了）,latitude,longitude,latlng,nearlest_station,walk_time
,,選択してください,選択してください,,,,,,,,,,,,,,,,,,,
,,北海道,,,,,,,,,,,,,,,,,,,,
,,青森県,,,,,,,,,,,,,,,,,,,,
,,岩手県,,,,,,,,,,,,,,,,,,,,
,,宮城県,,,,,,,,,,,,,,,,,,,,
,,秋田県,,,,,,,,,,,,,,,,,,,,
,,山形県,,,,,,,,,,,,,,,,,,,,
,,福島県,,,,,,,,,,,,,,,,,,,,
,,茨城県,,,,,,,,,,,,,,,,,,,,
,,栃木県,,,,,,,,,,,,,,,,,,,,
,,群馬県,,,,,,,,,,,,,,,,,,,,
,,東京都,江東区（86.6％）,,,,,,,,,,,,,,,,,,,
,,東京都,千代田区（88.1％）,,,,,,,,,,,,,,,,,,,
,,東京都,豊島区（98.1％）,,,,,,,,,,,,,,,,,,,
,,東京都,葛飾区（89.6％）,,,,,,,,,,,,,,,,,,,
,,東京都,板橋区（83.0％）,,,,,,,,,,,,,,,,,,,
,,東京都,中野区（81.3％）,,,,,,,,,,,,,,,,,,,
,,東京都,杉並区（83.2％）,,,,,,,,,,,,,,,,,,,
,,東京都,北区（89.2％）,,,,,,,,,,,,,,,,,,,
,,東京都,荒川区（93.7％）,,,,,,,,,,,,,,,,,,,
,,東京都,墨田区（83.1％）,,,,,,,,,,,,,,,,,,,
,,東京都,目黒区（81.8％）,,,,,,,,,,,,,,,,,,,
,,東京都,文京区（85.2％）,,,,,,,,,,,,,,,,,,,
,,東京都,足立区（79.2％）,,,,,,,,,,,,,,,,,,,
,,東京都,江戸川区（72.2％）,,,,,,,,,,,,,,,,,,,
,,東京都,練馬区（83.7％）,,,,,,,,,,,,,,,,,,,
,,東京都,大田区（78.3％）,,,,,,,,,,,,,,,,,,,
,,東京都,新宿区（79.6％）,,,,,,,,,,,,,,,,,,,
,,東京都,中央区（74.3％）,,,,,,,,,,,,,,,,,,,
,,東京都,渋谷区（77.1％）,,,,,,,,,,,,,,,,,,,
認可保育園,南奥沢☆,東京都,世田谷区（69.9％）,東京都世田谷区奥沢1-2-13,,14,14,17,17,17,79,,,7:15:00,18:15:00,18:15:00,20:15:00,35.5994527,139.6801106,"35.5994527,139.6801106",石川台,10
認可保育園,奥沢☆,東京都,世田谷区（69.9％）,東京都世田谷区奥沢2-3-11,10,10,11,17,17,18,83,5か月,,7:15:00,18:15:00,18:15:00,20:15:00,35.6052698,139.6757044,"35.6052698,139.6757044",緑が丘（東京都）,5
認可保育園,中町※1,東京都,世田谷区（69.9％）,東京都世田谷区中町3-27-2,11,16,18,19,20,21,105,5か月,,7:15:00,18:15:00,18:15:00,20:15:00,35.6154624,139.6425391,"35.6154624,139.6425391",上野毛,8
認可保育園,玉川,東京都,世田谷区（69.9％）,東京都世田谷区玉川4-16-6,,15,18,20,22,22,97,,,7:15:00,18:15:00,18:15:00,20:15:00,35.6177344,139.6241309,"35.6177344,139.6241309",二子玉川,12
認可保育園,上用賀☆,東京都,世田谷区（69.9％）,東京都世田谷区上用賀4-2-10,9,14,15,21,22,22,103,5か月,,7:15:00,18:15:00,18:15:00,20:15:00,35.6348913,139.6303933,"35.6348913,139.6303933",用賀,15
認可保育園,ふじみ※20,東京都,世田谷区（69.9％）,東京都世田谷区上用賀5-19-6,,16,16,19,19,20,90,,,7:15:00,18:15:00,18:15:00,20:15:00,35.6317882,139.6278758,"35.6317882,139.6278758",用賀,15
認可保育園,用賀,東京都,世田谷区（69.9％）,東京都世田谷区用賀2-29-22,,20,28,32,34,34,148,,,7:15:00,18:15:00,18:15:00,20:15:00,35.6256378,139.6366415,"35.6256378,139.6366415",用賀,6
認可保育園,用賀保育園分園 わくわく★※2,東京都,世田谷区（69.9％）,東京都世田谷区用賀2-28-20,,12,20,20,20,20,92,,,7:15:00,18:15:00,18:15:00,20:15:00,35.6246496,139.6372591,"35.6246496,139.6372591",用賀,7
認可保育園,等々力中央※3,東京都,世田谷区（69.9％）,東京都世田谷区等々力4-19-18,7,18,30,32,32,32,151,5か月,,7:15:00,18:15:00,18:15:00,20:15:00,35.610577,139.6525027,"35.610577,139.6525027",尾山台,7
認可保育園,新町☆,東京都,世田谷区（69.9％）,東京都世田谷区駒沢4-3-1,,13,14,19,19,19,84,,,7:15:00,18:15:00,18:15:00,20:15:00,35.626843,139.653539,"35.626843,139.653539",駒沢大学,17
認可保育園,めぐみ,東京都,世田谷区（69.9％）,東京都世田谷区深沢3-13-8,9,11,14,14,14,15,77,57日,,7:15:00,18:15:00,18:15:00,19:15:00,35.6160642,139.6578091,"35.6160642,139.6578091",尾山台,15
認可保育園,いずみ,東京都,世田谷区（69.9％）,東京都世田谷区深沢1-14-23,6,12,13,18,18,18,85,57日,,7:15:00,18:15:00,18:15:00,20:15:00,35.617519,139.6608933,"35.617519,139.6608933",九品仏,21
認可保育園,わかな,東京都,世田谷区（69.9％）,東京都世田谷区瀬田1-7-7,,15,23,24,24,24,110,,,7:15:00,18:15:00,18:15:00,20:15:00,35.6146671,139.6314666,"35.6146671,139.6314666",二子玉川,10
認可保育園,ナオミ※4,東京都,世田谷区（69.9％）,東京都世田谷区等々力4-13-10,15,24,24,24,24,24,135,43日,,7:15:00,18:15:00,18:15:00,20:15:00,35.6091121,139.6531404,"35.6091121,139.6531404",尾山台,5
認可保育園,ナオミ保育園 分園ぶどうの木※5,東京都,世田谷区（69.9％）,東京都世田谷区奥沢6-19-1,9,9,9,9,9,9,54,43日,,7:15:00,18:15:00,18:15:00,19:15:00,35.6032541,139.6651987,"35.6032541,139.6651987",九品仏,9
認可保育園,ナオミ保育園 分園りんごの木※5,東京都,世田谷区（69.9％）,東京都世田谷区野毛1-25-2,6,9,9,9,9,8,50,57日,,7:15:00,18:15:00,18:15:00,19:15:00,35.6046538,139.6419214,"35.6046538,139.6419214",等々力,12
認可保育園,等々力※6,東京都,世田谷区（69.9％）,東京都世田谷区等々力5-22-22,10,13,17,20,20,20,100,57日,,7:15:00,18:15:00,18:15:00,20:15:00,35.6090118,139.6582425,"35.6090118,139.6582425",九品仏,9
